#id  arrival  run_time  priority
1     3        1         7
2     3        5         1
3     8        8        10
4     8        7         3
5     5        3         0
6     7        6         9
7     3       10         4
8     8       10         6
9     7        2         5
10    3        8         8
11    6       10         2
12    9         8        10
13    3        6         1
14    7        3         0
15   10        6         3
16    8        2         9
17    3        1         6
18    0        5         2
19   10        6         8
20    6        4         4
